,,Tibetan,,,,,,,,,,,,,,Northeast   Asia ,,,,,Southeast   Asia ,,,,South Asia,,,,,,West Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N,80 ,243 ,415 ,203 ,82 ,134 ,90 ,50 ,53 ,850 ,331 ,635 ,168 ,,342,526,231,198,,210,210,106,,328,120,128,122,127,,120,333,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Locus 1,D8S1179,Ngari,Qamdo,Lhasa,Nagqu,Nyingchi,Xigaz那,Shannan,Aba,Garz那,Qinghai,Yunnan,Gannan,Tianzhu,,Liaoning Han,Japanese,Korean,Mongolian,,Thailand,Malaysia malay,Philippine,,Pakistan,"Oraon,India","Munda,India","Santal,India",Bangladesh,,Iran,Afghanistan,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0075 ,0.0000 ,0.0000 ,0.0000 ,0.0018 ,0.0015 ,0.0032 ,0.0060 ,,0.0027 ,0.0030 ,0.0060 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,0.0019 ,0.0000 ,0.0310 ,0.0000 ,0.0000 ,,0.0040 ,0.0020 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33.1,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0047 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33.2,0.0688 ,0.0370 ,0.0614 ,0.0837 ,0.0427 ,0.0672 ,0.0778 ,0.0200 ,0.0472 ,0.0482 ,0.0332 ,0.0489 ,0.0268 ,,0.0411 ,0.0410 ,0.0410 ,0.0480 ,,0.0640 ,0.0500 ,0.0420 ,,0.0747 ,0.0670 ,0.0700 ,0.0900 ,0.0276 ,,0.0240 ,0.0590 ,0.0693 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,34,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0015 ,0.0000 ,0.0000 ,,0.0018 ,0.0000 ,0.0020 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0039 ,,0.0000 ,0.0000 ,0.0050 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,34.2,0.0000 ,0.0041 ,0.0072 ,0.0049 ,0.0061 ,0.0037 ,0.0000 ,0.0000 ,0.0000 ,0.0053 ,0.0045 ,0.0032 ,0.0030 ,,0.0064 ,0.0030 ,0.0040 ,0.0025 ,,0.0170 ,0.0070 ,0.0050 ,,0.0069 ,0.0080 ,0.0000 ,0.0080 ,0.0118 ,,0.0120 ,0.0040 ,0.0099 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0009 ,0.0000 ,0.0020 ,0.0025 ,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0040 ,0.0000 ,0.0050 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35.2,0.0000 ,0.0000 ,0.0036 ,0.0000 ,0.0000 ,0.0000 ,0.0056 ,0.0000 ,0.0000 ,0.0012 ,0.0000 ,0.0008 ,0.0000 ,,0.0000 ,0.0010 ,0.0000 ,0.0000 ,,0.0000 ,0.0020 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.002?,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,36,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,36.2,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0050 ,,0.0009 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0000 ,0.0000 ,0.0000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
